major_name,cluster,cluster_label
Chương trình đào tạo kỹ sư chất lượng cao Việt - Pháp (PFIEV),0,Ngành Cạnh tranh Cao
Chương trình đào tạo nguồn nhân lực quốc tế ngành Tài chính - Ngân hàng,0,Ngành Cạnh tranh Cao
Chất lượng cao Hoạch định và tư vấn tài chính,0,Ngành Cạnh tranh Cao
Chất lượng cao Hệ thống thông tin quản lý,0,Ngành Cạnh tranh Cao
Chất lượng cao Kinh doanh quốc tế,0,Ngành Cạnh tranh Cao
Chất lượng cao Kinh tế đầu tư,0,Ngành Cạnh tranh Cao
Chất lượng cao Kế toán,0,Ngành Cạnh tranh Cao
Chất lượng cao Marketing số,0,Ngành Cạnh tranh Cao
Chất lượng cao Ngân hàng,0,Ngành Cạnh tranh Cao
Chất lượng cao Ngân hàng trung ương và Chính sách công,0,Ngành Cạnh tranh Cao
Chất lượng cao Ngân hàng và Tài chính quốc tế,0,Ngành Cạnh tranh Cao
Chất lượng cao Ngôn ngữ Anh Tài chính - Ngân hàng,0,Ngành Cạnh tranh Cao
Chất lượng cao Quản trị kinh doanh,0,Ngành Cạnh tranh Cao
Chất lượng cao Thương mại điện tử,0,Ngành Cạnh tranh Cao
Chất lượng cao Tài chính,0,Ngành Cạnh tranh Cao
Chỉ huy - Tham mưu Thông tin (miền Bắc),0,Ngành Cạnh tranh Cao
Chỉ huy - Tham mưu Thông tin (miền Nam),0,Ngành Cạnh tranh Cao
Chỉ huy Tham mưu Lục quân,0,Ngành Cạnh tranh Cao
Chỉ huy Tham mưu Lục quân (QK4),0,Ngành Cạnh tranh Cao
Chỉ huy Tham mưu Lục quân (QK5),0,Ngành Cạnh tranh Cao
Chỉ huy Tham mưu Lục quân (QK7),0,Ngành Cạnh tranh Cao
Chỉ huy Tham mưu Lục quân (QK9),0,Ngành Cạnh tranh Cao
Chỉ huy Tham mưu Pháo binh (miền Bắc),0,Ngành Cạnh tranh Cao
Chỉ huy Tham mưu Pháo binh (miền Nam),0,Ngành Cạnh tranh Cao
Chỉ huy tham mưu Hải quân (Thí sinh miền Bắc),0,Ngành Cạnh tranh Cao
Chỉ huy tham mưu Hải quân (Thí sinh miền Nam),0,Ngành Cạnh tranh Cao
Chỉ huy tham mưu Không quân (Thiết bị bay không người lái),0,Ngành Cạnh tranh Cao
Chỉ huy tham mưu Không quân (Thiết bị bay không người lái) - Thí sinh miền Nam,0,Ngành Cạnh tranh Cao
Chỉ huy tham mưu Tăng Thiết giáp (Thí sinh nam miền Bắc),0,Ngành Cạnh tranh Cao
Chỉ huy tham mưu Tăng Thiết giáp (Thí sinh nam miền Nam),0,Ngành Cạnh tranh Cao
Chỉ huy tham mưu không quân (Phi công quân sự),0,Ngành Cạnh tranh Cao
Chủ nghĩa xã hội khoa học,0,Ngành Cạnh tranh Cao
Công nghệ Bán dẫn,0,Ngành Cạnh tranh Cao
Công nghệ Chế tạo máy,0,Ngành Cạnh tranh Cao
Công nghệ Dệt - May,0,Ngành Cạnh tranh Cao
Công nghệ Giáo dục,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật Cơ khí,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật Cơ điện tử,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật Môi trường,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật Xây dựng,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật công trình xây dựng* (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật công trình xây dựng* (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật cơ khí,0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật cơ khí * (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật cơ khí * (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật cơ khí * (đào tạo tại phân hiệu Bình Phước),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật cơ điện tử * (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật cơ điện tử * (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật hóa học (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật in (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật máy tính (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật máy tính (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật môi trường (đào tạo bằng tiếng Việt),0,Ngành Cạnh tranh Cao
Công nghệ Kỹ thuật nhiệt (đào tạo bằng tiếng Anh),0,Ngành Cạnh tranh Cao
