rule,antecedents,consequents,support,confidence,lift
TH:C03 → Ngành:Kinh tế - Quản trị,TH:C03,Ngành:Kinh tế - Quản trị,0.012,0.3125,1.3223
TH:A00 + Xu hướng:Giảm → Ngành:Kỹ thuật - Công nghệ,TH:A00 + Xu hướng:Giảm,Ngành:Kỹ thuật - Công nghệ,0.0082,0.413,1.3207
Cạnh tranh:Thấp + TH:A01 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + TH:A01 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.01,0.4115,1.316
TH:C03 + Xu hướng:Ổn định → Ngành:Kinh tế - Quản trị,TH:C03 + Xu hướng:Ổn định,Ngành:Kinh tế - Quản trị,0.007,0.311,1.3159
Cạnh tranh:Thấp + TH:A01 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + TH:A01,Ngành:Kỹ thuật - Công nghệ,0.017,0.4109,1.314
TH:A00 → Ngành:Kỹ thuật - Công nghệ,TH:A00,Ngành:Kỹ thuật - Công nghệ,0.0501,0.4108,1.3139
Cạnh tranh:Thấp + TH:B00 → Ngành:Kỹ thuật - Công nghệ,Cạnh tranh:Thấp + TH:B00,Ngành:Kỹ thuật - Công nghệ,0.0065,0.4101,1.3117
TH:A00 + Xu hướng:Ổn định → Ngành:Kỹ thuật - Công nghệ,TH:A00 + Xu hướng:Ổn định,Ngành:Kỹ thuật - Công nghệ,0.0288,0.4077,1.3041
Cạnh tranh:Thấp + TH:D01 → Ngành:Kinh tế - Quản trị,Cạnh tranh:Thấp + TH:D01,Ngành:Kinh tế - Quản trị,0.0178,0.3037,1.285
Cạnh tranh:Thấp + TH:A01 + Xu hướng:Ổn định → Ngành:Kinh tế - Quản trị,Cạnh tranh:Thấp + TH:A01 + Xu hướng:Ổn định,Ngành:Kinh tế - Quản trị,0.0073,0.3007,1.2725
Cạnh tranh:Cao + TH:D01 → Ngành:Kinh tế - Quản trị,Cạnh tranh:Cao + TH:D01,Ngành:Kinh tế - Quản trị,0.0084,0.3007,1.2723
